blockNumber,timeStamp,from,to,value,TxnFee
9113965,2019-12-16 05:03:27,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,49.27466632285803,2.1000000000000002e-05
9108836,2019-12-15 05:01:28,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,51.35064773487978,2.1000000000000002e-05
9103672,2019-12-14 04:54:11,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,51.60665779987,2.1000000000000002e-05
9098298,2019-12-13 04:52:23,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.904978220303164,2.1000000000000002e-05
9092520,2019-12-12 04:46:01,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.35255746836355,2.1000000000000002e-05
9086946,2019-12-11 04:44:21,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,55.22374640058099,2.1000000000000002e-05
9081255,2019-12-10 04:45:18,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,51.9285507566823,2.1000000000000002e-05
9075585,2019-12-09 04:37:09,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,55.83750843432256,2.1000000000000002e-05
9069959,2019-12-08 04:38:19,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.38742269282398,2.1000000000000002e-05
9064329,2019-12-07 04:33:41,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.59767692425816,2.1000000000000002e-05
9058622,2019-12-06 04:31:53,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,52.34271745085763,2.1000000000000002e-05
9053024,2019-12-05 04:26:49,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,54.536344693702,2.1000000000000002e-05
9047426,2019-12-04 04:24:34,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,52.00007097286291,2.1000000000000002e-05
9042578,2019-12-03 07:55:21,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,0x727fc6a68321b754475c668a6abfb6e9e71c169a,10.0,0.0006720000000000001
9041767,2019-12-03 04:22:26,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.89097011858911,2.1000000000000002e-05
9036078,2019-12-02 04:13:51,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,49.38622240694408,2.1000000000000002e-05
9030490,2019-12-01 04:16:10,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,55.70865139964239,2.1000000000000002e-05
9026723,2019-11-30 12:19:11,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,45.3,0.0006720000000000001
9024769,2019-11-30 04:07:43,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.82324560986862,2.1000000000000002e-05
9019120,2019-11-29 04:01:57,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,52.58426905279666,2.1000000000000002e-05
9014479,2019-11-28 08:23:05,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,0x9929c54c2676cc3c26fed5bf8df190f19335ac79,40.0,0.0006720000000000001
9013448,2019-11-28 03:55:58,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,56.787922874188844,2.1000000000000002e-05
9007805,2019-11-27 03:51:51,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,58.27750641206135,2.1000000000000002e-05
9002107,2019-11-26 03:48:46,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,58.272135820712194,2.1000000000000002e-05
